MATERIAL_NUMBER,Order Count,ABC,PICK_FACE_NO_OF_LOC
ITM1117,12,B,1
ITM6029,12,B,1
ITM6012,12,B,1
ITM342,12,B,1
ITM1861,12,B,1
ITM1871,12,B,1
ITM5322,12,B,1
ITM6307,12,B,1
ITM5129,12,B,1
ITM5873,12,B,1
ITM5132,12,B,1
ITM1643,12,B,1
ITM5893,12,B,1
ITM1913,12,B,1
ITM6146,12,B,1
ITM6390,12,B,1
ITM5320,12,B,1
ITM6145,12,B,1
ITM5048,12,B,1
ITM5292,12,B,1
ITM3258,12,B,1
ITM269,12,B,1
ITM2711,12,B,1
ITM5548,12,B,1
ITM5202,12,B,1
ITM5935,12,B,1
ITM489,12,B,1
ITM5757,12,B,1
ITM5254,11,C,1
ITM498,11,C,1
ITM6705,11,C,1
ITM1993,11,C,1
ITM5232,11,C,1
ITM6063,11,C,1
ITM790,11,C,1
ITM5191,11,C,1
ITM5792,11,C,1
ITM4497,11,C,1
ITM1700,11,C,1
ITM6180,11,C,1
ITM6353,11,C,1
ITM6468,11,C,1
ITM1422,11,C,1
ITM992,11,C,1
ITM5704,11,C,1
ITM5215,11,C,1
ITM1295,11,C,1
ITM6272,11,C,1
ITM5636,11,C,1
ITM2572,11,C,1
ITM5039,11,C,1
ITM5347,11,C,1
ITM6602,11,C,1
ITM5829,11,C,1
ITM1076,11,C,1
ITM1338,11,C,1
ITM5583,11,C,1
ITM6053,11,C,1
ITM6335,11,C,1
ITM2682,11,C,1
ITM382,11,C,1
ITM6420,11,C,1
ITM5817,11,C,1
ITM5199,11,C,1
ITM5719,11,C,1
ITM6331,11,C,1
ITM5135,11,C,1
ITM2239,11,C,1
ITM3269,11,C,1
ITM1660,11,C,1
ITM5613,11,C,1
ITM2281,11,C,1
ITM6342,11,C,1
ITM5430,11,C,1
ITM3335,11,C,1
ITM5900,11,C,1
ITM1342,11,C,1
ITM72,11,C,1
ITM2659,11,C,1
ITM5216,11,C,1
ITM733,11,C,1
ITM1903,11,C,1
ITM947,11,C,1
ITM347,11,C,1
ITM162,11,C,1
ITM6522,11,C,1
ITM5246,11,C,1
ITM5838,11,C,1
ITM6595,11,C,1
ITM937,11,C,1
ITM5654,11,C,1
ITM6250,11,C,1
ITM1868,11,C,1
ITM6336,11,C,1
ITM5840,11,C,1
ITM6363,10,C,1
ITM6132,10,C,1
ITM1732,10,C,1
ITM1194,10,C,1
ITM5563,10,C,1
ITM6260,10,C,1
ITM5895,10,C,1
ITM6007,10,C,1
ITM998,10,C,1
ITM1822,10,C,1
ITM1206,10,C,1
ITM5463,10,C,1
ITM2976,10,C,1
ITM6502,10,C,1
ITM6462,10,C,1
ITM3731,10,C,1
ITM5735,10,C,1
ITM3207,10,C,1
ITM4471,10,C,1
ITM1377,10,C,1
ITM6160,10,C,1
ITM5756,10,C,1
ITM839,10,C,1
ITM5971,10,C,1
ITM61,10,C,1
ITM6487,10,C,1
ITM1439,10,C,1
ITM2558,10,C,1
ITM5629,10,C,1
ITM5453,10,C,1
ITM5141,10,C,1
ITM6988,10,C,1
ITM612,10,C,1
ITM5213,10,C,1
ITM2291,10,C,1
ITM5068,10,C,1
ITM3364,10,C,1
ITM1369,10,C,1
ITM338,10,C,1
ITM2516,10,C,1
ITM6103,10,C,1
ITM6532,10,C,1
ITM451,10,C,1
ITM6176,10,C,1
ITM6340,10,C,1
ITM2227,10,C,1
ITM1974,10,C,1
ITM3757,10,C,1
ITM1537,10,C,1
ITM79,10,C,1
ITM5323,10,C,1
ITM5968,10,C,1
ITM6886,10,C,1
ITM6059,9,C,1
ITM5953,9,C,1
ITM5977,9,C,1
ITM5069,9,C,1
ITM6501,9,C,1
ITM1814,9,C,1
ITM5566,9,C,1
ITM294,9,C,1
ITM5550,9,C,1
ITM2513,9,C,1
ITM4466,9,C,1
ITM5040,9,C,1
ITM6223,9,C,1
ITM5293,9,C,1
ITM1966,9,C,1
ITM3390,9,C,1
ITM5201,9,C,1
ITM5731,9,C,1
ITM5298,9,C,1
ITM3759,9,C,1
ITM5597,9,C,1
ITM5814,9,C,1
ITM4116,9,C,1
ITM537,9,C,1
ITM5196,9,C,1
ITM5237,9,C,1
ITM6506,9,C,1
ITM5688,9,C,1
ITM6259,9,C,1
ITM42,9,C,1
ITM6277,9,C,1
ITM5481,9,C,1
ITM1397,9,C,1
ITM6512,9,C,1
ITM6000,9,C,1
ITM6547,9,C,1
ITM6775,9,C,1
ITM2309,9,C,1
ITM87,9,C,1
ITM938,9,C,1
ITM2667,9,C,1
ITM2387,9,C,1
ITM5858,9,C,1
ITM3268,9,C,1
ITM768,9,C,1
ITM5174,9,C,1
ITM6344,9,C,1
ITM1679,9,C,1
ITM5386,9,C,1
ITM6388,9,C,1
ITM6611,9,C,1
ITM6257,9,C,1
ITM6035,9,C,1
ITM3022,9,C,1
ITM6511,9,C,1
ITM2123,8,C,1
ITM6282,8,C,1
ITM6677,8,C,1
ITM5389,8,C,1
ITM5238,8,C,1
ITM160,8,C,1
ITM3076,8,C,1
ITM6714,8,C,1
ITM5291,8,C,1
ITM86,8,C,1
ITM2632,8,C,1
ITM363,8,C,1
ITM6004,8,C,1
ITM6666,8,C,1
ITM5917,8,C,1
ITM5874,8,C,1
ITM1862,8,C,1
ITM5365,8,C,1
ITM5788,8,C,1
ITM5661,8,C,1
ITM2161,8,C,1
ITM6529,8,C,1
